Unnamed: 0,Rain(mm),PET1(mm/h),Water Potential (MPa),Soil moisture (cm3/cm3),Corrected Total(cm/h),Total Flow(cm3/h)
2021-06-11 11:00:00,0.0,0.9614239878494316,-1.28,0.11533333333333333,6.263816418681228,763.1267870084382
2021-06-11 11:30:00,0.0,0.9592837943621708,-1.3,0.11533333333333333,6.221110161291298,757.9238425399614
2021-06-11 12:00:00,0.0,0.8840511586474754,-1.32,0.11466666666666665,6.078520396297016,740.5519941416196
2021-06-11 12:30:00,0.0,0.8859053604028495,-1.32,0.11466666666666665,5.681344451021734,692.1636662061117
2021-06-11 13:00:00,0.0,0.6399109239916819,-1.27,0.11399999999999999,6.143689259665451,748.4915795303331
2021-06-11 13:30:00,0.0,0.6404341175441378,-1.28,0.11399999999999999,5.711642101855415,695.8548581870348
2021-06-11 14:00:00,0.0,0.5114261567377946,-1.18,0.11266666666666665,5.76681186911252,702.5762440663134
2021-06-11 14:30:00,0.0,0.5100310664562065,-1.42,0.11266666666666665,7.044214054096758,858.203382536923
2021-06-11 15:00:00,0.0,1.0464224181583248,-1.15,0.11133333333333334,5.725582679870288,697.5532522328441
2021-06-11 15:30:00,0.0,1.0459966475012688,-1.08,0.11133333333333334,5.42666096572944,661.1353319057047
2021-06-11 16:00:00,0.0,0.2989555998042668,-1.04,0.11133333333333334,5.594752740198558,681.6141146795096
2021-06-11 16:30:00,0.0,0.2987452279518059,-1.27,0.11133333333333334,5.342734482286254,650.9104875977038
2021-06-11 17:00:00,0.0,0.349717705285104,-1.05,0.11033333333333334,5.674680424602257,691.3517814492616
2021-06-11 17:30:00,0.0,0.3489659752676599,-1.0,0.11033333333333334,4.611066989386272,561.7707322641915
2021-06-11 18:00:00,0.0,0.2005428841352749,-1.0,0.11033333333333334,4.413558901875201,537.7081317414517
2021-06-11 18:30:00,0.0,0.2008111217729234,-0.98,0.11033333333333334,4.25281280529481,518.1242799794984
2021-06-11 19:00:00,0.0,0.2861655201589341,-1.0,0.11033333333333334,3.6463416771236554,444.2373183382956
2021-06-11 19:30:00,0.0,0.2854924071622713,-0.89,0.11033333333333334,4.300595351876448,523.9456736492068
2021-06-11 20:00:00,0.0,0.0006806726090644,-0.82,0.11066666666666668,3.2313850840666607,393.6827569588894
2021-06-11 20:30:00,0.0,4.653536869251965e-07,-0.81,0.11066666666666668,2.677223149501652,326.16867475403274
2021-06-11 21:00:00,0.0,0.0002269487321723,-0.75,0.111,2.3864734031837616,290.7463531372373
2021-06-11 21:30:00,0.0,0.0002392978055146,-0.75,0.111,2.0139867927006034,245.36595063790568
2021-06-11 22:00:00,0.0,0.0002383398152277,-0.72,0.11133333333333334,2.097187633312582,255.50238918090943
2021-06-11 22:30:00,0.0,0.0002419378064101,-0.71,0.11133333333333334,1.9921566825602346,242.70636729478983
2021-06-11 23:00:00,0.0,0.0004816586695515,-0.7,0.111,1.484997974514638,180.9187334458925
2021-06-11 23:30:00,0.0,0.0002353878815688,-0.69,0.111,1.46554393225339,178.54862874089574
2021-06-12 00:00:00,0.0,0.0007360994493658,-0.7,0.11133333333333334,1.0216795906670464,124.4722085169268
2021-06-12 00:30:00,0.0,0.0007318284158692,-0.68,0.11133333333333334,0.6862315982623116,83.60425653021265
2021-06-12 01:00:00,0.0,0.0003638377016377,-0.65,0.111,0.916162358778613,111.61694253165744
2021-06-12 01:30:00,0.0,0.0003654978544321,-0.65,0.111,0.4444302588618053,54.1453664706769
2021-06-12 02:00:00,0.0,0.0003573184615306,-0.66,0.111,0.6773868686089441,82.52669459812883
2021-06-12 02:30:00,0.0,0.0007785246203224,-0.62,0.111,0.6909487431774327,84.17895083833342
2021-06-12 03:00:00,0.0,0.0003586491647841,-0.63,0.111,0.7776211733169565,94.73833647698748
2021-06-12 03:30:00,0.0,8.029942561899668e-07,-0.55,0.111,0.5789076871222141,70.52888107168904
2021-06-12 04:00:00,0.0,0.0007912091376085,-0.57,0.11133333333333334,0.4751035736014132,57.882325947063286
2021-06-12 04:30:00,0.0,0.0003558407427381,-0.59,0.11133333333333334,0.3842576869900366,46.81448408696154
2021-06-12 05:00:00,0.0,0.0003656481961585,-0.59,0.111,0.5399834311779091,65.78670148180167
2021-06-12 05:30:00,0.0,0.0004111121332022,-0.54,0.111,0.5535482435526135,67.43931563776695
2021-06-12 06:00:00,0.0,8.770889913307541e-07,-0.5,0.11133333333333334,0.8908135456475057,108.52867221429526
2021-06-12 06:30:00,0.0,7.681847827052406e-07,-0.55,0.11133333333333334,0.8819708166422321,107.45135402309552
2021-06-12 07:00:00,0.0,7.460670888627962e-07,-0.59,0.11133333333333334,1.267480047278112,154.41831487779962
2021-06-12 07:30:00,0.0,7.560826945617175e-07,-0.65,0.11133333333333334,1.773320493544142,216.0453436244662
2021-06-12 08:00:00,0.0,0.0470699157596745,-0.74,0.111,2.751737333591101,335.24680956672387
2021-06-12 08:30:00,0.0,0.0473057238538431,-0.85,0.111,3.7855054339868404,461.19177286641616
2021-06-12 09:00:00,0.0,0.1452959269514721,-0.9,0.11066666666666668,4.120315009698625,501.9819459325651
2021-06-12 09:30:00,0.0,0.1452994797626442,-0.94,0.11066666666666668,4.53980381286398,553.0886708344726
2021-06-12 10:00:00,0.0,0.0888875390793637,-1.02,0.11099999999999999,5.450827058665666,664.0795102826394
2021-06-12 10:30:00,0.0,0.0888974534612672,-1.09,0.11099999999999999,5.812308924301446,708.1191941184769
2021-06-12 11:00:00,0.0,0.5453113839499107,-1.07,0.11066666666666665,5.352391105960074,652.0869633602395
2021-06-12 11:30:00,0.0,0.547319348262228,-1.25,0.11066666666666665,5.796533784149666,706.19729360065
